(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(73) 2 CFR 200.407;
(134) 2 CFR Appendix I to Part 200;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(227) 2 CFR 200.75;
(231) 2 CFR 200.401;",
,GrantAwardNumberOfParticipantsTraineesQuantity,"A total number of proposed participant/trainees within the function or activity for an award. (217, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(73) 2 CFR 200.407;
(134) 2 CFR Appendix I to Part 200;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(227) 2 CFR 200.75;
(231) 2 CFR 200.401;",
,GrantAwardAreasAffectedText,"A list of geographic areas or entities aided within the function or activity for an award using categories specified in the Federal agency instructions. (e.g., Cities, Counties, States). (199, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(134) 2 CFR Appendix I to Part 200;
(199) SF-424;",
,GrantAwardCostItemContributorTypeCode,"A source contributing to a portion of a cost, e.g., Federal, Applicant/Grant Award Recipient, State.","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(33) 2 CFR 200.302;
(38) 2 CFR.200.306;
(38) 2 CFR 200.306;
(39) 2 CFR 200.308;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(67) 2 CFR 200.342;
(75) 2 CFR 200.410;
(76) 2 CFR 200.411;
(78) 2 CFR 200.413;
(79) 2 CFR 200.414;
(88) 2 CFR 200.434;
(98) 2 CFR 200.511;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(136) 2 CFR Appendices III to Part 200;
(137) 2 CFR Appendices IV to Part 200;
(138) 2 CFR Appendices V to Part 200;
(139) 2 CFR Appendices VI to Part 200;
(140) 2 CFR Appendices VII to Part 200;
(141) 2 CFR Appendices VIII to Part 200;
(142) 2 CFR Appendices IX to Part 200;
(178) SF-429-A General Reporting;
(182) Standard Form 271 (Rev. 7-97);
(183) Standard Form 270 (Rev. 7-97);
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS D2 V2;
(199) SF-424;
(206) PERFORMANCE PROGRESS REPORT OMB Approval Number: Activity Based Expenditures SF-PPR-E;
(208) SF-424D;
(211) SF-424C;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(229) 2 CFR 200.430;
(234) 2 CFR 200.465;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(259) 2 CFR 200, Appendix X;","Applicant
Grant/Award Recipient;
Federal;
Local;
Other;
State;"
,GrantAwardDirectCostItemTypeCode,A code denoting different cost items for direct costs used in budgeting and budget reporting.,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(33) 2 CFR 200.302;
(38) 2 CFR 200.306;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(67) 2 CFR 200.342;
(75) 2 CFR 200.410;
(76) 2 CFR 200.411;
(78) 2 CFR 200.413;
(79) 2 CFR 200.414;
(88) 2 CFR 200.434;
(98) 2 CFR 200.511;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(178) SF-429-A General Reporting;
(179) SF-429-B Request to Acquire, Improve or Furnish;
(180) SF-429-C Disposition of Encumbrance Request;
(182) Standard Form 271 (Rev. 7-97);
(183) Standard Form 270 (Rev. 7-97);
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS D2 V2;
(206) PERFORMANCE PROGRESS REPORT OMB Approval Number: Activity Based Expenditures SF-PPR-E;
(208) SF-424D;
(211) SF-424C;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(221) SF-SAC;
(222) FAC Data Dictionary;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(259) 2 CFR 200, Appendix X;",See Cost Items list;
,GrantAwardIndirectCostItemTypeText,A text description of an indirect cost item used in budgeting and budget reporting.,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(33) 2 CFR 200.302;
(38) 2 CFR 200.306;
(39) 2 CFR 200.308;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(67) 2 CFR 200.342;
(75) 2 CFR 200.410;
(76) 2 CFR 200.411;
(78) 2 CFR 200.413;
(79) 2 CFR 200.414;
(88) 2 CFR 200.434;
(98) 2 CFR 200.511;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(136) 2 CFR Appendices III to Part 200;
(137) 2 CFR Appendices IV to Part 200;
(138) 2 CFR Appendices V to Part 200;
(139) 2 CFR Appendices VI to Part 200;
(140) 2 CFR Appendices VII to Part 200;
(141) 2 CFR Appendices VIII to Part 200;
(142) 2 CFR Appendices IX to Part 200;
(178) SF-429-A General Reporting;
(179) SF-429-B Request to Acquire, Improve or Furnish;
(180) SF-429-C Disposition of Encumbrance Request;
(182) Standard Form 271 (Rev. 7-97);
(183) Standard Form 270 (Rev. 7-97);
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS D2 V2;
(206) PERFORMANCE PROGRESS REPORT OMB Approval Number: Activity Based Expenditures SF-PPR-E;
(208) SF-424D;
(211) SF-424C;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(229) 2 CFR 200.430;
(234) 2 CFR 200.465;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(252) 2 CFR 200.43;
(255) 2 CFR 200.503;",
,GrantAwardCostItemAmount,A dollar amount associated with a cost item for direct or indirect costs used in budgeting and budget reporting.,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(33) 2 CFR 200.302;
(38) 2 CFR 200.306;
(38) 2 CFR.200.306;
(39) 2 CFR 200.308;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(67) 2 CFR 200.342;
(75) 2 CFR 200.410;
(76) 2 CFR 200.411;
(78) 2 CFR 200.413;
(79) 2 CFR 200.414;
(88) 2 CFR 200.434;
(98) 2 CFR 200.511;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(136) 2 CFR Appendices III to Part 200;
(137) 2 CFR Appendices IV to Part 200;
(138) 2 CFR Appendices V to Part 200;
(139) 2 CFR Appendices VI to Part 200;
(140) 2 CFR Appendices VII to Part 200;
(141) 2 CFR Appendices VIII to Part 200;
(142) 2 CFR Appendices IX to Part 200;
(178) SF-429-A General Reporting;
(179) SF-429-B Request to Acquire, Improve or Furnish;
(180) SF-429-C Disposition of Encumbrance Request;
(182) Standard Form 271 (Rev. 7-97);
(183) Standard Form 270 (Rev. 7-97);
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS D2 V2;
(206) PERFORMANCE PROGRESS REPORT OMB Approval Number: Activity Based Expenditures SF-PPR-E;
(208) SF-424D;
(211) SF-424C;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(229) 2 CFR 200.430;
(234) 2 CFR 200.465;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(252) 2 CFR 200.43;
(255) 2 CFR 200.503;
(259) 2 CFR 200, Appendix X;",
,GrantAwardCostItemStatusCode,"A code denoting whether a budgeted cost item has been Approved, Obligated, Allocated, Disbursed, or Incurred.","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(33) 2 CFR 200.302;
(38) 2 CFR.200.306;
(38) 2 CFR 200.306;
(39) 2 CFR 200.308;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(67) 2 CFR 200.342;
(75) 2 CFR 200.410;
(76) 2 CFR 200.411;
(78) 2 CFR 200.413;
(79) 2 CFR 200.414;
(88) 2 CFR 200.434;
(98) 2 CFR 200.511;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(136) 2 CFR Appendices III to Part 200;
(137) 2 CFR Appendices IV to Part 200;
(138) 2 CFR Appendices V to Part 200;
(139) 2 CFR Appendices VI to Part 200;
(140) 2 CFR Appendices VII to Part 200;
(141) 2 CFR Appendices VIII to Part 200;
(142) 2 CFR Appendices IX to Part 200;
(178) SF-429-A General Reporting;
(182) Standard Form 271 (Rev. 7-97);
(183) Standard Form 270 (Rev. 7-97);
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS D2 V2;
(206) PERFORMANCE PROGRESS REPORT OMB Approval Number: Activity Based Expenditures SF-PPR-E;
(208) SF-424D;
(211) SF-424C;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(229) 2 CFR 200.430;
(234) 2 CFR 200.465;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(259) 2 CFR 200, Appendix X;","Allocated;
Approved;
Budgeted;
Disbursed;
Incurred;
Obligated;"
,"GrantAwardCostItemDescriptionText
","A description of a cost item. (217, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(33) 2 CFR 200.302;
(38) 2 CFR.200.306;
(38) 2 CFR 200.306;
(39) 2 CFR 200.308;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(67) 2 CFR 200.342;
(75) 2 CFR 200.410;
(76) 2 CFR 200.411;
(78) 2 CFR 200.413;
(79) 2 CFR 200.414;
(88) 2 CFR 200.434;
(98) 2 CFR 200.511;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(136) 2 CFR Appendices III to Part 200;
(137) 2 CFR Appendices IV to Part 200;
(138) 2 CFR Appendices V to Part 200;
(139) 2 CFR Appendices VI to Part 200;
(140) 2 CFR Appendices VII to Part 200;
(141) 2 CFR Appendices VIII to Part 200;
(142) 2 CFR Appendices IX to Part 200;
(178) SF-429-A General Reporting;
(182) Standard Form 271 (Rev. 7-97);
(183) Standard Form 270 (Rev. 7-97);
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS D2 V2;
(206) PERFORMANCE PROGRESS REPORT OMB Approval Number: Activity Based Expenditures SF-PPR-E;
(208) SF-424D;
(211) SF-424C;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(229) 2 CFR 200.430;
(234) 2 CFR 200.465;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(259) 2 CFR 200, Appendix X;",
,GrantAwardCostItemAllowableCostIndicator,An indication of whether the cost item is allowable or unallowable.,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(33) 2 CFR 200.302;
(38) 2 CFR.200.306;
(38) 2 CFR 200.306;
(39) 2 CFR 200.308;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(67) 2 CFR 200.342;
(75) 2 CFR 200.410;
(76) 2 CFR 200.411;
(78) 2 CFR 200.413;
(79) 2 CFR 200.414;
(88) 2 CFR 200.434;
(98) 2 CFR 200.511;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(136) 2 CFR Appendices III to Part 200;
(137) 2 CFR Appendices IV to Part 200;
(138) 2 CFR Appendices V to Part 200;
(139) 2 CFR Appendices VI to Part 200;
(140) 2 CFR Appendices VII to Part 200;
(141) 2 CFR Appendices VIII to Part 200;
(142) 2 CFR Appendices IX to Part 200;
(178) SF-429-A General Reporting;
(182) Standard Form 271 (Rev. 7-97);
(183) Standard Form 270 (Rev. 7-97);
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS D2 V2;
(206) PERFORMANCE PROGRESS REPORT OMB Approval Number: Activity Based Expenditures SF-PPR-E;
(208) SF-424D;
(211) SF-424C;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(229) 2 CFR 200.430;
(234) 2 CFR 200.465;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityBusinessTypeCode,"A code denoting the award applicant or award recipient organization, governmental or individual type.","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(187) DAIMS D2 V2;
(198) USASpending.gov Data Dictionary;
(237) 2 CFR 200.504;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);","Domestic Local Government (Includes territories unless otherwise specified);
For-Profit Organization;
Foreign Government;
Foreign Non-Governmental Entity (not including Foreign Non-Profit);
Indian/Native American Tribal Government (Federally-Recognized);
Indian/Native American Tribal Government (Other than Federally-Recognized);
International Organization;
Nonprofit with 501C3 IRS Status;
Nonprofit without 501C3 IRS Status (including Foreign Non-Profit);
Private Educational Institution;
Public/State Controlled Institution;
Special District Governments or Interstate Entity;
U.S. Federal Government;
U.S. State Government (including The District of Columbia);
U.S. Territory (or Possession) Government (including freely-associated states);"
,GRMLegalEntityBusinessTypeCharacteristicsTypeCode,"A collection of codes denoting the attributes further defining the award applicant or award recipient business type based on socio-economic status and organization / business areas. (187, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(187) DAIMS D2 V2;
(198) USASpending.gov Data Dictionary;
(237) 2 CFR 200.504;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);","1862 Land Grant College;
1890 Land Grant College;
1994 Land Grant College;
AbilityOne Non-Profit Agency;
Accredited/Not accredited;
Alaskan Native  Serving Institution;
Alaskan Native Corporation Owned Firm;
Asian-Pacific American Owned Business;
Black American Owned;
Community Development Corporation Owned Firm;
Community Development Corporation;
DOT Certified Disadvantaged Business Enterprise (DBE);
Domestic Shelter;
Economically Disadvantaged Women Small Owned Business;
Federally Funded Research and Development Center;
Foundation;
Hispanic American Owned;
Hispanic-serving Institution;
Historically Black College or University (HBCU);
Hospital;
Independent research institute;
Indian/Native American Tribal Designated Organization;
Joint Venture Economically Disadvantaged Women Small Owned Business;
Joint Venture Women Owned Small Business;
Labor Surplus Area Firm;
Local Government Owned;
Manufacturer of Goods;
Minority Institution;
Minority Owned Business;
Native American Owned;
Native Hawaiian Organization Owned Firm;
Native Hawaiian Servicing Institution;
Nonprofit research organization;
SBA Certified 8(a) Joint Venture;
SBA Certified 8(a) Program Participant;
SBA Certified Hub Zone Firm;
SBA Certified Small Disadvantaged Business;
School of Forestry;
Self Certified HUBZone Joint Venture;
Self Certified Small Disadvantaged Business;
Service Disabled Veteran Owned Business;
Small Agricultural Cooperative;
Small Business;
Subcontinent Asian (Asian-Indian) American Owned Business;
Tribally Controlled College or University (TCCU);
Tribally Owned Firm;
Veteran Owned Business;
Veterinary College;
Veterinary Hospital;
Woman Owned Business;
Woman Owned Small Business;"
,GRMLegalEntityIndirectCostRateTypeCode,"A code denoting the category (e.g., base, estimated, overhead (F&A)) of indirect cost rate associated with the non-Federal legal entity award recipient and related awards.","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(38) 2 CFR.200.306;
(79) 2 CFR 200.414;
(80) 2 CFR 200.415;
(81) 2 CFR 200.416;
(136) 2 CFR Appendices III to Part 200;
(137) 2 CFR Appendices IV to Part 200;
(138) 2 CFR Appendices V to Part 200;
(139) 2 CFR Appendices VI to Part 200;
(140) 2 CFR Appendices VII to Part 200;
(141) 2 CFR Appendices VIII to Part 200;
(142) 2 CFR Appendices IX to Part 200;","Base;
De Minimus;
Estimated;
Offsite;
Onsite;
Other;
Overhead (F&A);
Training;"
,GRMLegalEntityIndirectCostRate,"A numeric value that represents the most recent Indirect cost rate for a given indirect cost rate type for the non-Federal legal entity (e.g., Base, Estimated, Offsite) established with the cognizant or oversight Federal agency for indirect costs. ( 217 augmented) ","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(38) 2 CFR.200.306;
(79) 2 CFR 200.414;
(80) 2 CFR 200.415;
(81) 2 CFR 200.416;
(136) 2 CFR Appendices III to Part 200;
(137) 2 CFR Appendices IV to Part 200;
(138) 2 CFR Appendices V to Part 200;
(139) 2 CFR Appendices VI to Part 200;
(140) 2 CFR Appendices VII to Part 200;
(141) 2 CFR Appendices VIII to Part 200;
(142) 2 CFR Appendices IX to Part 200;
(184) SF-425 - Revised 10/11/2011;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);",
,GRMLegalEntityIndirectCostRateStatusCode,"A code denoting status of an grant award indirect cost rate(s) for the non-Federal legal entity, such as Provisional, Predetermined, Final, or Fixed. (184, 187 augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(38) 2 CFR.200.306;
(79) 2 CFR 200.414;
(80) 2 CFR 200.415;
(81) 2 CFR 200.416;
(136) 2 CFR Appendices III to Part 200;
(137) 2 CFR Appendices IV to Part 200;
(138) 2 CFR Appendices V to Part 200;
(139) 2 CFR Appendices VI to Part 200;
(140) 2 CFR Appendices VII to Part 200;
(141) 2 CFR Appendices VIII to Part 200;
(142) 2 CFR Appendices IX to Part 200;
(184) Standard Form 425 - Revised 10/11/2012;
(187) DAIMS D2 V2;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);","Final;
Fixed;
Predetermined;
Provisional;"
,GRMAwardActionTypeCode,A code denoting initiation of or type of changes to a grant award.,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(39) 2 CFR 200.308;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS D2 V2;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(245) 2 CFR 200.331;","Competing Continuation;
New;
Non-Competing Continuation;
Renewal;"
,GRMAwardActionTypeDetailTypeCode,A code denoting the type of activity that has been applied to the grant award.,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(39) 2 CFR 200.308;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(184) SF-425 - Revised 10/11/2011;
(245) 2 CFR 200.331;","Administrative Supplement;
Budget or Funding Adjustment;
Carryover;
Change of Grantee/Training/Awarding Institution;
Closeout;
Cost Extension;
Deobligation;
No Cost Extension;
Offset;
Other Revision;
Supplement for Expansion;
Termination;"
,GRMAwardActionTypeTerminationReasonTypeCode,A code denoting the type of cause that resulted in the termination of a grant award.,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(39) 2 CFR 200.308;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(184) SF-425 - Revised 10/11/2011;
(245) 2 CFR 200.331;","Cause;
Consent;
Failure to Comply;
Request;"
,GrantAwardTitleName,"A brief, descriptive title of the non-Federal legal entity's activity or project associated with the grant application or award. (199)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(134) 2 CFR Appendix I to Part 200;
(190) CDER;
(199) SF-424;
(225) RPPR;",
,GrantAwardBudgetTypeCode,"A code denoting that the budget is for the primary applicant organization (Project) or for the sub-awardee/consortium organization(s). (217, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(134) 2 CFR Appendix I to Part 200;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;","Project;
Subaward/Consortium;"
,BudgetObjectClassCode,A code denoting a category in a classification system that presents obligations by the items or services purchased by the Federal Government. (236),"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(33) 2 CFR 200.302;
(38) 2 CFR 200.306;
(39) 2 CFR 200.308;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(187) DAIMS D2 V2;
(190) CDER;
(198) USASpending.gov;
(208) SF-424D;
(209) SF-424A;
(211) SF-424C;
(228) 2 CFR 200.98;
(236) OMB Circular No. A-11 (2016);
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);",(236) OMB Circular No. A-11 (2016);
,GRMFederalShareMultiplierPercentTypeCode,A code denoting the type of base value to which a multiplier is applied to determine the final Federal share of an asset or cost associated with a grant award.,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(38) 2 CFR 200.306;
(178) SF-429-A General Reporting;
(179) SF-429-B Request to Acquire, Improve or Furnish;
(180) SF-429-C Disposition of Encumbrance Request;
(208) SF-424D;
(211) SF-424C;
(252) 2 CFR 200.43;","Real Property Appraised Value;
Real Property Cost;
Requested Total Budget Eligible Cost;"
,GRMFederalShareMultiplierPercent,"A percent applied to the base value to determine the portion of the total grant project costs that are paid by Federal funds. (252, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(38) 2 CFR 200.306;
(178) SF-429-A General Reporting;
(179) SF-429-B Request to Acquire, Improve or Furnish;
(180) SF-429-C Disposition of Encumbrance Request;
(208) SF-424D;
(211) SF-424C;
(252) 2 CFR 200.43;",
,GrantAwardRoleCalendarMonthsQuantity,"A number indicating how many months were devoted to the function or activity supporting the award by each role. (217, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(134) 2 CFR Appendix I to Part 200;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(225) RPPR;",
,GrantAwardRoleAcademicMonthsQuantity,"A number indicating how many academic months were devoted to the function or activity supporting the award by each role. (217, augmented)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(134) 2 CFR Appendix I to Part 200;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(225) RPPR;",
,GrantAwardGoalText,A description of the grant award project and activity goals as relates to performance outcomes and expectations. ,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;",
,GrantAwardOutcomeText,A description of the expected outcomes from the grant award project and activities as it relates to performance outcomes and expectations. ,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;",
,GrantAwardMilestoneText,A description of the milestones associated with the grant award project and activities as relates to project outcomes and expectations. ,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;",
,GrantAwardPerformanceIndicator,A description of the performance metrics for the grant award project and activities.,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
